date,opening,Enough,Day high,Day low,volume
21-Jun-19,"12,934","12,888",12.948,"12,888",-
6/20/2019,"13,040","13,050","13,060",13.006,-
6/19/2019,13.004,12.974,13.012,12.974,-
6/18/2019,"12,818",12.886,"12,904","12,818",-
6/17/2019,13.018,12.978,"13,026",12.974,-
6/14/2019,12.974,"13,032","13,032",12.974,-
6/13/2019,12.91,"12,906",12.914,"12,884",-
6/12/2019,"12,904",12.912,"12,930","12,904",-
6/11/2019,13.056,"13,080","13,080","13,044",-
07.06.2019,"13,078","13,034","13,090","13,030",-
6/6/2019,"13,122","13,038","13,122","13,038",-
6/5/2019,"12,996","12,996","12,996","12,936",-
6/4/2019,12.674,12.668,12.682,12.666,-
6/3/2019,"12,542","12,510","12,568","12,510",-
31-May-19,"12,702","12,680","12,704",12.644,-
5/30/2019,"12,860","12,870","12,880","12,860",-
5/29/2019,12.782,12.794,12.794,"12,762",-
5/28/2019,"12,920","12,944","12,954",12.91,-
27-May-19,12.798,12.812,12.816,12.798,-
5/24/2019,12.788,12.784,12.788,"12,762",-
5/23/2019,12.748,"12,824","12,836",12.748,-
5/22/2019,"12,700","12,702","12,706",12.672,-
21-May-19,12.638,"12,578",12.656,"12,578",-
5/20/2019,"12,584",12.622,12.628,"12,584",-
5/17/2019,12.614,"12,584",12.618,"12,584",-
16-May-19,"12,310","12,330","12,346","12,310",-
5/15/2019,"12,168",12.254,"12,312","12,168",-
14-May-19,12.024,"12,070",12.086,12.006,-
5/13/2019,12.118,"12,148","12,148",12.098,-
5/10/2019,"12,148","12,142","12,158","12,124",-
5/9/2019,12.288,"12,282",12.304,12.268,-
5/8/2019,12.276,12.294,"12,312",12.276,-
7/5/2019,"12,374","12,426","12,426","12,360",-
5/6/2019,"12,552","12,530","12,568","12,530",-
5/3/2019,"12,496","12,500","12,510","12,496",-
5/2/2019,"12,450","12,476","12,476","12,440",-
4/30/2019,"12,480","12,472","12,486","12,444",-
4/29/2019,"12,480","12,456","12,480","12,456",-
4/26/2019,12.508,"12,484","12,534","12,484",-
4/25/2019,"12,564","12,650","12,650","12,564",-
4/24/2019,12.386,"12,410","12,410","12,370",-
4/23/2019,"12,444","12,510","12,512","12,444",-
18-Apr-19,12.652,12.74,12.74,12.648,-
17-Apr-19,12.686,12.738,12.744,12.686,-
4/16/2019,"12,530","12,540","12,552",12.508,-
15-Apr-19,"12,482","12,498","12,498","12,474",-
4/12/2019,12.224,"12,166",12.224,"12,164",-
4/11/2019,"12,352",12.284,12.358,12.284,-
4/10/2019,"12,584","13,266","13,266","12,584",75
4/9/2019,12.676,12.728,12.728,12.676,-
4/8/2019,12.69,"12,680",12.73,"12,680",-
4/5/2019,"12,810","12,860","12,860","12,810",-
4/4/2019,12.67,12.69,"12,700","12,660",-
4/3/2019,"12,750",12.72,"12,750",12.71,-
4/2/2019,"12,580","12,590","12,590","12,560",-
4/1/2019,"12,180","12,220",12.24,"12,180",-
29-Mar-19,"12,070","12,070","12,080",12.06,-
28-Mar-19,"11,990","11,970","12,000","11,940",-
27-Mar-19,12.11,"12,140","12,140","12,100",-
26-Mar-19,"12,510","12,490","12,510","12,470",-
3/25/2019,"12,200","12,190","12,200","12,180",-
22-Mar-19,"12,410",12.62,12.63,"12,410",-
3/21/2019,"12,560","12,590","12,590","12,560",-
20-Mar-19,"12,520","12,530","12,530","12,510",-
19-Mar-19,"12,680",12.67,"12,680","12,660",-
3/18/2019,"12,500","12,530","12,530","12,490",-
3/15/2019,"12,430","12,440","12,450","12,430",-
14-Mar-19,"12,530","12,520","12,540","12,510",-
13-Mar-19,"12,560","12,540","12,560","12,530",-
3/12/2019,12.78,12.77,12.78,12.77,-
3/11/2019,"12,550","12,550","12,560","12,530",-
3/8/2019,"12,590","12,540","13,180","12,540",24
07.03.2019,"13,030","13,140","13,140",13.02,-
3/6/2019,"13,380","13,360","13,380","13,360",-
05.03.2019,"13,270","13,310","13,310","13,270",-
04.03.2019,"13,340","13,420","13,420","13,340",-
