X,Y
21.764999,21.764999
22.08,22.692499
21.877501,21.877501
22.4825,22.4825
22.965,22.965
24.1075,24.1075
24.0975,24.0975
25.344999,25.885
26.469999,28
24.9125,25.1325
24.9125,24.9125
24.9125,23.877501
23.7425,23.7425
23.695,23.695
24.342501,24.342501
24.692499,24.692499
24.705,24.922501
23.952499,23.9475
25.219999,25.219999
24.657499,24.657499
24.5525,24.5525
24.932501,24.932501
25.754999,26.297501
25.307501,25.549999
25.9625,25.84
26.3325,26.3325
26.434999,27.3675
27.195,27.205
27.379999,27.379999
28.35,28.35
28.7675,28.7675
28.8825,30.120001
29.2325,29.2325
29.102501,29.202499
